4-Year Longitudinal Rate (Gr 9-12) Class of 2016,Graduates and GED,SA3C416R,RA3C416R,DA3C4X16R,DB3C4X16R,DH3C4X16R,DW3C4X16R,DI3C4X16R,D33C4X16R,D43C4X16R,D23C4X16R,DS3C4X16R,DE3C4X16R,DL3C4X16R,,
4-Year Longitudinal Rate (Gr 9-12) Class of 2016,"Grads, GED, & Cont",SA2C416R,RA2C416R,DA2C4X16R,DB2C4X16R,DH2C4X16R,DW2C4X16R,DI2C4X16R,D32C4X16R,D42C4X16R,D22C4X16R,DS2C4X16R,DE2C4X16R,DL2C4X16R,,
Class of 2015,Class of 2015,,,,,,,,,,,,,,,
Class of 2015,Graduated,SAGC415R,RAGC415R,DAGC4X15R,DBGC4X15R,DHGC4X15R,DWGC4X15R,DIGC4X15R,D3GC4X15R,D4GC4X15R,D2GC4X15R,DSGC4X15R,DEGC4X15R,DLGC4X15R,,
Class of 2015,Received GED,SAEC415R,RAEC415R,DAEC4X15R,DBEC4X15R,DHEC4X15R,DWEC4X15R,DIEC4X15R,D3EC4X15R,D4EC4X15R,D2EC4X15R,DSEC4X15R,DEEC4X15R,DLEC4X15R,,
Class of 2015,Continued HS,SANC415R,RANC415R,DANC4X15R,DBNC4X15R,DHNC4X15R,DWNC4X15R,DINC4X15R,D3NC4X15R,D4NC4X15R,D2NC4X15R,DSNC4X15R,DENC4X15R,DLNC4X15R,,
Class of 2015,Dropped Out,SADC415R,RADC415R,DADC4X15R,DBDC4X15R,DHDC4X15R,DWDC4X15R,DIDC4X15R,D3DC4X15R,D4DC4X15R,D2DC4X15R,DSDC4X15R,DEDC4X15R,DLDC4X15R,,
Class of 2015,Graduates and GED,SA3C415R,RA3C415R,DA3C4X15R,DB3C4X15R,DH3C4X15R,DW3C4X15R,DI3C4X15R,D33C4X15R,D43C4X15R,D23C4X15R,DS3C4X15R,DE3C4X15R,DL3C4X15R,,
Class of 2015,"Grads, GED, & Cont",SA2C415R,RA2C415R,DA2C4X15R,DB2C4X15R,DH2C4X15R,DW2C4X15R,DI2C4X15R,D32C4X15R,D42C4X15R,D22C4X15R,DS2C4X15R,DE2C4X15R,DL2C4X15R,,
5-Year Extended Longitudinal Rate (Gr 9-12),5-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,
Class of 2015,Class of 2015,,,,,,,,,,,,,,,
Class of 2015,Graduated,SAGC515R,RAGC515R,DAGC5X15R,DBGC5X15R,DHGC5X15R,DWGC5X15R,DIGC5X15R,D3GC5X15R,D4GC5X15R,D2GC5X15R,DSGC5X15R,DEGC5X15R,DLGC5X15R,,
Class of 2015,Received GED,SAEC515R,RAEC515R,DAEC5X15R,DBEC5X15R,DHEC5X15R,DWEC5X15R,DIEC5X15R,D3EC5X15R,D4EC5X15R,D2EC5X15R,DSEC5X15R,DEEC5X15R,DLEC5X15R,,
Class of 2015,Continued HS,SANC515R,RANC515R,DANC5X15R,DBNC5X15R,DHNC5X15R,DWNC5X15R,DINC5X15R,D3NC5X15R,D4NC5X15R,D2NC5X15R,DSNC5X15R,DENC5X15R,DLNC5X15R,,
Class of 2015,Dropped Out,SADC515R,RADC515R,DADC5X15R,DBDC5X15R,DHDC5X15R,DWDC5X15R,DIDC5X15R,D3DC5X15R,D4DC5X15R,D2DC5X15R,DSDC5X15R,DEDC5X15R,DLDC5X15R,,
Class of 2015,Graduates and GED,SA3C515R,RA3C515R,DA3C5X15R,DB3C5X15R,DH3C5X15R,DW3C5X15R,DI3C5X15R,D33C5X15R,D43C5X15R,D23C5X15R,DS3C5X15R,DE3C5X15R,DL3C5X15R,,
Class of 2015,"Grads, GED, & Cont",SA2C515R,RA2C515R,DA2C5X15R,DB2C5X15R,DH2C5X15R,DW2C5X15R,DI2C5X15R,D32C5X15R,D42C5X15R,D22C5X15R,DS2C5X15R,DE2C5X15R,DL2C5X15R,,
Class of 2014,Class of 2014,,,,,,,,,,,,,,,
Class of 2014,Graduated,SAGC514R,RAGC514R,DAGC5X14R,DBGC5X14R,DHGC5X14R,DWGC5X14R,DIGC5X14R,D3GC5X14R,D4GC5X14R,D2GC5X14R,DSGC5X14R,DEGC5X14R,DLGC5X14R,,
Class of 2014,Received GED,SAEC514R,RAEC514R,DAEC5X14R,DBEC5X14R,DHEC5X14R,DWEC5X14R,DIEC5X14R,D3EC5X14R,D4EC5X14R,D2EC5X14R,DSEC5X14R,DEEC5X14R,DLEC5X14R,,
Class of 2014,Continued HS,SANC514R,RANC514R,DANC5X14R,DBNC5X14R,DHNC5X14R,DWNC5X14R,DINC5X14R,D3NC5X14R,D4NC5X14R,D2NC5X14R,DSNC5X14R,DENC5X14R,DLNC5X14R,,
Class of 2014,Dropped Out,SADC514R,RADC514R,DADC5X14R,DBDC5X14R,DHDC5X14R,DWDC5X14R,DIDC5X14R,D3DC5X14R,D4DC5X14R,D2DC5X14R,DSDC5X14R,DEDC5X14R,DLDC5X14R,,
Class of 2014,Graduates and GED,SA3C514R,RA3C514R,DA3C5X14R,DB3C5X14R,DH3C5X14R,DW3C5X14R,DI3C5X14R,D33C5X14R,D43C5X14R,D23C5X14R,DS3C5X14R,DE3C5X14R,DL3C5X14R,,
Class of 2014,"Grads, GED, & Cont",SA2C514R,RA2C514R,DA2C5X14R,DB2C5X14R,DH2C5X14R,DW2C5X14R,DI2C5X14R,D32C5X14R,D42C5X14R,D22C5X14R,DS2C5X14R,DE2C5X14R,DL2C5X14R,,
,"Grads, GED, & Cont",,,,,,,,,,,,,,,
,"Grads, GED, & Cont",State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
6-Year Extended Longitudinal Rate (Gr 9-12),6-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,
Class of 2014,Class of 2014,,,,,,,,,,,,,,,
Class of 2014,Graduated,SAGC614R,RAGC614R,DAGC6X14R,DBGC6X14R,DHGC6X14R,DWGC6X14R,DIGC6X14R,D3GC6X14R,D4GC6X14R,D2GC6X14R,DSGC6X14R,DEGC6X14R,DLGC6X14R,,
Class of 2014,Received GED Continued HS,SAEC614R SANC614R,RAEC614R RANC614R,DAEC6X14R DANC6X14R,DBEC6X14R DBNC6X14R,DHEC6X14R DHNC6X14R,DWEC6X14R DWNC6X14R,DIEC6X14R DINC6X14R ,D3EC6X14R D3NC6X14R,D4EC6X14R D4NC6X14R,D2EC6X14R D2NC6X14R,DSEC6X14R DSNC6X14R,DEEC6X14R DENC6X14R,DLEC6X14R DLNC6X14R,,
Class of 2014,Dropped Out,SADC614R,RADC614R,DADC6X14R,DBDC6X14R,DHDC6X14R,DWDC6X14R,DIDC6X14R,D3DC6X14R,D4DC6X14R,D2DC6X14R,DSDC6X14R,DEDC6X14R,DLDC6X14R,,
Class of 2014,Graduates and GED,SA3C614R,RA3C614R,DA3C6X14R,DB3C6X14R,DH3C6X14R,DW3C6X14R,DI3C6X14R,D33C6X14R,D43C6X14R,D23C6X14R,DS3C6X14R,DE3C6X14R,DL3C6X14R,,
Class of 2014,"Grads, GED, & Cont",SA2C614R,RA2C614R,DA2C6X14R,DB2C6X14R,DH2C6X14R,DW2C6X14R,DI2C6X14R,D32C6X14R,D42C6X14R,D22C6X14R,DS2C6X14R,DE2C6X14R,DL2C6X14R,,
Class of 2013,Class of 2013,,,,,,,,,,,,,,,
Class of 2013,Graduated,SAGC613R,RAGC613R,DAGC6X13R,DBGC6X13R,DHGC6X13R,DWGC6X13R,DIGC6X13R,D3GC6X13R,D4GC6X13R,D2GC6X13R,DSGC6X13R,DEGC6X13R,DLGC6X13R,,
Class of 2013,Received GED,SAEC613R,RAEC613R,DAEC6X13R,DBEC6X13R,DHEC6X13R,DWEC6X13R,DIEC6X13R,D3EC6X13R,D4EC6X13R,D2EC6X13R,DSEC6X13R,DEEC6X13R,DLEC6X13R,,
Class of 2013,Continued HS,SANC613R,RANC613R,DANC6X13R,DBNC6X13R,DHNC6X13R,DWNC6X13R,DINC6X13R,D3NC6X13R,D4NC6X13R,D2NC6X13R,DSNC6X13R,DENC6X13R,DLNC6X13R,,
Class of 2013,Dropped Out,SADC613R,RADC613R,DADC6X13R,DBDC6X13R,DHDC6X13R,DWDC6X13R,DIDC6X13R,D3DC6X13R,D4DC6X13R,D2DC6X13R,DSDC6X13R,DEDC6X13R,DLDC6X13R,,
Class of 2013,Graduates and GED,SA3C613R,RA3C613R,DA3C6X13R,DB3C6X13R,DH3C6X13R,DW3C6X13R,DI3C6X13R,D33C6X13R,D43C6X13R,D23C6X13R,DS3C6X13R,DE3C6X13R,DL3C6X13R,,
Class of 2013,"Grads, GED, & Cont",SA2C613R,RA2C613R,DA2C6X13R,DB2C6X13R,DH2C6X13R,DW2C6X13R,DI2C6X13R,D32C6X13R,D42C6X13R,D22C6X13R,DS2C6X13R,DE2C6X13R,DL2C6X13R,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2016,SAGC416R,RAGC416R,DAGC416R,DBGC416R,DHGC416R,DWGC416R,DIGC416R,D3GC416R,D4GC416R,D2GC416R,DSGC416R,DEGC416R,DLGC416R,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2015,SAGC415R,RAGC415R,DAGC415R,DBGC415R,DHGC415R,DWGC415R,DIGC415R,D3GC415R,D4GC415R,D2GC415R,DSGC415R,DEGC415R,DLGC415R,,
5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2015,SAGC515R,RAGC515R,DAGC515R,DBGC515R,DHGC515R,DWGC515R,DIGC515R,D3GC515R,D4GC515R,D2GC515R,DSGC515R,DEGC515R,DLGC515R,,
5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2014,SAGC514R,RAGC514R,DAGC514R,DBGC514R,DHGC514R,DWGC514R,DIGC514R,D3GC514R,D4GC514R,D2GC514R,DSGC514R,DEGC514R,DLGC514R,,
6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,
6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2014,SAGC614R,RAGC614R,DAGC614R,DBGC614R,DHGC614R,DWGC614R,DIGC614R,D3GC614R,D4GC614R,D2GC614R,DSGC614R,DEGC614R,DLGC614R,,
6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2013,SAGC613R,RAGC613R,DAGC613R,DBGC613R,DHGC613R,DWGC613R,DIGC613R,D3GC613R,D4GC613R,D2GC613R,DSGC613R,DEGC613R,DLGC613R,,
RHSP/DAP Graduates (Longitudinal Rate),RHSP/DAP Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
RHSP/DAP Graduates (Longitudinal Rate),Class of 2016,SARC416R,RARC416R,DARC4X16R,DBRC4X16R,DHRC4X16R,DWRC4X16R,DIRC4X16R,D3RC4X16R,D4RC4X16R,D2RC4X16R,DSRC4X16R,DERC4X16R,DLRC4X16R,,
RHSP/DAP Graduates (Longitudinal Rate),Class of 2015,SARC415R,RARC415R,DARC4X15R,DBRC4X15R,DHRC4X15R,DWRC4X15R,DIRC4X15R,D3RC4X15R,D4RC4X15R,D2RC4X15R,DSRC4X15R,DERC4X15R,DLRC4X15R,,
FHSP-E Graduates (Longitudinal Rate),FHSP-E Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
FHSP-E Graduates (Longitudinal Rate),Class of 2016,SAPC416R,RAPC416R,DAPC4X16R,DBPC4X16R,DHPC4X16R,DWPC4X16R,DIPC4X16R,D3PC4X16R,D4PC4X16R,D2PC4X16R,DSPC4X16R,DEPC4X16R,DLPC4X16R,,
FHSP-E Graduates (Longitudinal Rate),Class of 2015,SAPC415R,RAPC415R,DAPC4X15R,DBPC4X15R,DHPC4X15R,DWPC4X15R,DIPC4X15R,D3PC4X15R,D4PC4X15R,D2PC4X15R,DSPC4X15R,DEPC4X15R,DLPC4X15R,,
FHSP-DLA Graduates (Longitudinal Rate),FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
FHSP-DLA Graduates (Longitudinal Rate),Class of 2016,SAAC416R,RAAC416R,DAAC4X16R,DBAC4X16R,DHAC4X16R,DWAC4X16R,DIAC4X16R,D3AC4X16R,D4AC4X16R,D2AC4X16R,DSAC4X16R,DEAC4X16R,DLAC4X16R,,
FHSP-DLA Graduates (Longitudinal Rate),Class of 2015,SAAC415R,RAAC415R,DAAC4X15R,DBAC4X15R,DHAC4X15R,DWAC4X15R,DIAC4X15R,D3AC4X15R,D4AC4X15R,D2AC4X15R,DSAC4X15R,DEAC4X15R,DLAC4X15R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),Class of 2016,SASC416R,RASC416R,DASC4X16R,DBSC4X16R,DHSC4X16R,DWSC4X16R,DISC4X16R,D3SC4X16R,D4SC4X16R,D2SC4X16R,DSSC4X16R,DESC4X16R,DLSC4X16R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),Class of 2015,SASC415R,RASC415R,DASC4X15R,DBSC4X15R,DHSC4X15R,DWSC4X15R,DISC4X15R,D3SC4X15R,D4SC4X15R,D2SC4X15R,DSSC4X15R,DESC4X15R,DLSC4X15R,,
RHSP/DAP Graduates (Annual Rate),RHSP/DAP Graduates (Annual Rate),,,,,,,,,,,,,,,
RHSP/DAP Graduates (Annual Rate),2015-16,SA0GH16R,RA0GH16R,DA0GH16R,DB0GH16R,DH0GH16R,DW0GH16R,DI0GH16R,D30GH16R,D40GH16R,D20GH16R,DS0GH16R,DE0GH16R,DL0GH16R,,
RHSP/DAP Graduates (Annual Rate),2014-15,SA0GH15R,RA0GH15R,DA0GH15R,DB0GH15R,DH0GH15R,DW0GH15R,DI0GH15R,D30GH15R,D40GH15R,D20GH15R,DS0GH15R,DE0GH15R,DL0GH15R,,
,2014-15,,,,,,,,,,,,,,,
,2014-15,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
FHSP-E Graduates (Annual Rate),FHSP-E Graduates (Annual Rate),,,,,,,,,,,,,,,
FHSP-E Graduates (Annual Rate),2015-16 2014-15,SA0GE16R SA0GE15R,RA0GE16R RA0GE15R,DA0GE16R DA0GE15R,DB0GE16R DB0GE15R,DH0GE16R DH0GE15R,DW0GE16R DW0GE15R,DI0GE16R DI0GE15R,D30GE16R D30GE15R,D40GE16R D40GE15R,D20GE16R D20GE15R,DS0GE16R DS0GE15R,DE0GE16R DE0GE15R,DL0GE16R DL0GE15R,,
FHSP-DLA Graduates (Annual Rate),FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,
FHSP-DLA Graduates (Annual Rate),2015-16,SA0GA16R,RA0GA16R,DA0GA16R,DB0GA16R,DH0GA16R,DW0GA16R,DI0GA16R,D30GA16R,D40GA16R,D20GA16R,DS0GA16R,DE0GA16R,DL0GA16R,,
FHSP-DLA Graduates (Annual Rate),2014-15,SA0GA15R,RA0GA15R,DA0GA15R,DB0GA15R,DH0GA15R,DW0GA15R,DI0GA15R,D30GA15R,D40GA15R,D20GA15R,DS0GA15R,DE0GA15R,DL0GA15R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),2015-16,SA0GS16R,RA0GS16R,DA0GS16R,DB0GS16R,DH0GS16R,DW0GS16R,DI0GS16R,D30GS16R,D40GS16R,D20GS16R,DS0GS16R,DE0GS16R,DL0GS16R,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),2014-15,SA0GS15R,RA0GS15R,DA0GS15R,DB0GS15R,DH0GS15R,DW0GS15R,DI0GS15R,D30GS15R,D40GS15R,D20GS15R,DS0GS15R,DE0GS15R,DL0GS15R,,
Advanced Course/Dual-Credit Course Completion (Grades 11-12),Advanced Course/Dual-Credit Course Completion (Grades 11-12),,,,,,,,,,,,,,,
Any Subject,Any Subject,,,,,,,,,,,,,,,
Any Subject,2015-16,SA0AD16R,RA0AD16R,DA0AD16R,DB0AD16R,DH0AD16R,DW0AD16R,DI0AD16R,D30AD16R,D40AD16R,D20AD16R,DS0AD16R,DE0AD16R,DL0AD16R,,
Any Subject,2014-15,SA0AD15R,RA0AD15R,DA0AD15R,DB0AD15R,DH0AD15R,DW0AD15R,DI0AD15R,D30AD15R,D40AD15R,D20AD15R,DS0AD15R,DE0AD15R,DL0AD15R,,
Any Subject,English Language Arts 2015-16 2014-15,SA0ADE16R SA0ADE15R,RA0ADE16R RA0ADE15R,DA0ADE16R DA0ADE15R,DB0ADE16R DB0ADE15R,DH0ADE16R DH0ADE15R,DW0ADE16R DW0ADE15R,DI0ADE16R DI0ADE15R,D30ADE16R D30ADE15R,D40ADE16R D40ADE15R,D20ADE16R D20ADE15R,DS0ADE16R DS0ADE15R,DE0ADE16R DE0ADE15R,DL0ADE16R DL0ADE15R,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,2015-16,SA0ADM16R,RA0ADM16R,DA0ADM16R,DB0ADM16R,DH0ADM16R,DW0ADM16R,DI0ADM16R,D30ADM16R,D40ADM16R,D20ADM16R,DS0ADM16R,DE0ADM16R,DL0ADM16R,,
Mathematics,2014-15,SA0ADM15R,RA0ADM15R,DA0ADM15R,DB0ADM15R,DH0ADM15R,DW0ADM15R,DI0ADM15R,D30ADM15R,D40ADM15R,D20ADM15R,DS0ADM15R,DE0ADM15R,DL0ADM15R,,
Science,Science,,,,,,,,,,,,,,,
Science,2015-16 2014-15,SA0ADC16R SA0ADC15R,RA0ADC16R RA0ADC15R,DA0ADC16R DA0ADC15R,DB0ADC16R DB0ADC15R,DH0ADC16R DH0ADC15R,DW0ADC16R DW0ADC15R,DI0ADC16R DI0ADC15R,D30ADC16R D30ADC15R,D40ADC16R D40ADC15R,D20ADC16R D20ADC15R,DS0ADC16R DS0ADC15R,DE0ADC16R DE0ADC15R,DL0ADC16R DL0ADC15R,,
Science,Social Studies 2015-16,SA0ADS16R,RA0ADS16R,DA0ADS16R,DB0ADS16R,DH0ADS16R,DW0ADS16R,DI0ADS16R,D30ADS16R,D40ADS16R,D20ADS16R,DS0ADS16R,DE0ADS16R,DL0ADS16R,,
Science,2014-15,SA0ADS15R,RA0ADS15R,DA0ADS15R,DB0ADS15R,DH0ADS15R,DW0ADS15R,DI0ADS15R,D30ADS15R,D40ADS15R,D20ADS15R,DS0ADS15R,DE0ADS15R,DL0ADS15R,,
Advanced Course/Dual-Credit Course Completion (Grades 9-12),Advanced Course/Dual-Credit Course Completion (Grades 9-12),,,,,,,,,,,,,,,
Any Subject,Any Subject,,,,,,,,,,,,,,,
Any Subject,2015-16,SA9AD16R,RA9AD16R,DA9AD16R,DB9AD16R,DH9AD16R,DW9AD16R,DI9AD16R,D39AD16R,D49AD16R,D29AD16R,DS9AD16R,DE9AD16R,DL9AD16R,,
Any Subject,2014-15,SA9AD15R,RA9AD15R,DA9AD15R,DB9AD15R,DH9AD15R,DW9AD15R,DI9AD15R,D39AD15R,D49AD15R,D29AD15R,DS9AD15R,DE9AD15R,DL9AD15R,,
Any Subject,English Language Arts 2015-16,SA9ADE16R,RA9ADE16R,DA9ADE16R,DB9ADE16R,DH9ADE16R,DW9ADE16R,DI9ADE16R,D39ADE16R,D49ADE16R,D29ADE16R,DS9ADE16R,DE9ADE16R,DL9ADE16R,,
Any Subject,2014-15,SA9ADE15R,RA9ADE15R,DA9ADE15R,DB9ADE15R,DH9ADE15R,DW9ADE15R,DI9ADE15R,D39ADE15R,D49ADE15R,D29ADE15R,DS9ADE15R,DE9ADE15R,DL9ADE15R,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,2015-16,SA9ADM16R,RA9ADM16R,DA9ADM16R,DB9ADM16R,DH9ADM16R,DW9ADM16R,DI9ADM16R,D39ADM16R,D49ADM16R,D29ADM16R,DS9ADM16R,DE9ADM16R,DL9ADM16R,,
Mathematics,2014-15,SA9ADM15R,RA9ADM15R,DA9ADM15R,DB9ADM15R,DH9ADM15R,DW9ADM15R,DI9ADM15R,D39ADM15R,D49ADM15R,D29ADM15R,DS9ADM15R,DE9ADM15R,DL9ADM15R,,
Mathematics,Science 2015-16,SA9ADC16R,RA9ADC16R,DA9ADC16R,DB9ADC16R,DH9ADC16R,DW9ADC16R,DI9ADC16R,D39ADC16R,D49ADC16R,D29ADC16R,DS9ADC16R,DE9ADC16R,DL9ADC16R,,
Mathematics,2014-15,SA9ADC15R,RA9ADC15R,DA9ADC15R,DB9ADC15R,DH9ADC15R,DW9ADC15R,DI9ADC15R,D39ADC15R,D49ADC15R,D29ADC15R,DS9ADC15R,DE9ADC15R,DL9ADC15R,,
Mathematics,Social Studies 2015-16,SA9ADS16R,RA9ADS16R,DA9ADS16R,DB9ADS16R,DH9ADS16R,DW9ADS16R,DI9ADS16R,D39ADS16R,D49ADS16R,D29ADS16R,DS9ADS16R,DE9ADS16R,DL9ADS16R,,
Mathematics,2014-15,SA9ADS15R,RA9ADS15R,DA9ADS15R,DB9ADS15R,DH9ADS15R,DW9ADS15R,DI9ADS15R,D39ADS15R,D49ADS15R,D29ADS15R,DS9ADS15R,DE9ADS15R,DL9ADS15R,,
,2014-15,,,,,,,,,,,,,,,
,2014-15,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
,College-Ready Graduates English Language Arts 2015-16 2014-15,SACRR16R SACRR15R,RACRR16R RACRR15R,DACRR16R DACRR15R,DBCRR16R DBCRR15R,DHCRR16R DHCRR15R,DWCRR16R DWCRR15R,DICRR16R DICRR15R,D3CRR16R D3CRR15R,D4CRR16R D4CRR15R,D2CRR16R D2CRR15R,DSCRR16R DSCRR15R,DECRR16R DECRR15R,DLCRR16R DLCRR15R,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,2015-16 2014-15,SACRM16R SACRM15R,RACRM16R RACRM15R,DACRM16R DACRM15R,DBCRM16R DBCRM15R,DHCRM16R DHCRM15R,DWCRM16R DWCRM15R,DICRM16R DICRM15R,D3CRM16R D3CRM15R,D4CRM16R D4CRM15R,D2CRM16R D2CRM15R,DSCRM16R DSCRM15R,DECRM16R DECRM15R,DLCRM16R DLCRM15R,,
Mathematics,Both Subjects 2015-16,SACRB16R,RACRB16R,DACRB16R,DBCRB16R,DHCRB16R,DWCRB16R,DICRB16R,D3CRB16R,D4CRB16R,D2CRB16R,DSCRB16R,DECRB16R,DLCRB16R,,
Mathematics,2014-15,SACRB15R,RACRB15R,DACRB15R,DBCRB15R,DHCRB15R,DWCRB15R,DICRB15R,D3CRB15R,D4CRB15R,D2CRB15R,DSCRB15R,DECRB15R,DLCRB15R,,
Mathematics,Either Subject 2015-16,SACRE16R,RACRE16R,DACRE16R,DBCRE16R,DHCRE16R,DWCRE16R,DICRE16R,D3CRE16R,D4CRE16R,D2CRE16R,DSCRE16R,DECRE16R,DLCRE16R,,
Mathematics,2014-15,SACRE15R,RACRE15R,DACRE15R,DBCRE15R,DHCRE15R,DWCRE15R,DICRE15R,D3CRE15R,D4CRE15R,D2CRE15R,DSCRE15R,DECRE15R,DLCRE15R,,
College and Career Ready Graduates,College and Career Ready Graduates,,,,,,,,,,,,,,,
College and Career Ready Graduates,2015-16 2014-15,SA0GP16R SA0GP15R,RA0GP16R RA0GP15R,DA0GP16R DA0GP15R,DB0GP16R DB0GP15R,DH0GP16R DH0GP15R,DW0GP16R DW0GP15R,DI0GP16R DI0GP15R,D30GP16R D30GP15R,D40GP16R D40GP15R,D20GP16R D20GP15R,DS0GP16R DS0GP15R,DE0GP16R DE0GP15R,DL0GP16R DL0GP15R,,
Texas Success Initiative Assessment (TSIA),Texas Success Initiative Assessment (TSIA),,,,,,,,,,,,,,,
English Language Arts,English Language Arts,,,,,,,,,,,,,,,
English Language Arts,2015-16,SAEGT16R,RAEGT16R,DAEGT16R,DBEGT16R,DHEGT16R,DWEGT16R,DIEGT16R,D3EGT16R,D4EGT16R,D2EGT16R,DSEGT16R,DEEGT16R,DLEGT16R,,
English Language Arts,2014-15,SAEGT15R,RAEGT15R,DAEGT15R,DBEGT15R,DHEGT15R,DWEGT15R,DIEGT15R,D3EGT15R,D4EGT15R,D2EGT15R,DSEGT15R,DEEGT15R,DLEGT15R,,
English Language Arts,Mathematics 2015-16,SAMGT16R,RAMGT16R,DAMGT16R,DBMGT16R,DHMGT16R,DWMGT16R,DIMGT16R,D3MGT16R,D4MGT16R,D2MGT16R,DSMGT16R,DEMGT16R,DLMGT16R,,
English Language Arts,2014-15,SAMGT15R,RAMGT15R,DAMGT15R,DBMGT15R,DHMGT15R,DWMGT15R,DIMGT15R,D3MGT15R,D4MGT15R,D2MGT15R,DSMGT15R,DEMGT15R,DLMGT15R,,
Completion of Two or More Advanced/Dual-Credit Courses in Current and/or Prior Year (Annual Graduates),Completion of Two or More Advanced/Dual-Credit Courses in Current and/or Prior Year (Annual Graduates),,,,,,,,,,,,,,,
Completion of Two or More Advanced/Dual-Credit Courses in Current and/or Prior Year (Annual Graduates),2015-16,SA0G216R,RA0G216R,DA0G216R,DB0G216R,DH0G216R,DW0G216R,DI0G216R,D30G216R,D40G216R,D20G216R,DS0G216R,DE0G216R,DL0G216R,,
Completion of Two or More Advanced/Dual-Credit Courses in Current and/or Prior Year (Annual Graduates),2014-15,SA0G215R,RA0G215R,DA0G215R,DB0G215R,DH0G215R,DW0G215R,DI0G215R,D30G215R,D40G215R,D20G215R,DS0G215R,DE0G215R,DL0G215R,,
Completion of Twelve or More Hours of Postsecondary Credit (Annual Graduates),Completion of Twelve or More Hours of Postsecondary Credit (Annual Graduates),,,,,,,,,,,,,,,
Any Subject,Any Subject,,,,,,,,,,,,,,,
Any Subject,2015-16,SA0GUA16R,RA0GUA16R,DA0GUA16R,DB0GUA16R,DH0GUA16R,DW0GUA16R,DI0GUA16R,D30GUA16R,D40GUA16R,D20GUA16R,DS0GUA16R,DE0GUA16R,DL0GUA16R,,
Any Subject,2014-15,SA0GUA15R,RA0GUA15R,DA0GUA15R,DB0GUA15R,DH0GUA15R,DW0GUA15R,DI0GUA15R,D30GUA15R,D40GUA15R,D20GUA15R,DS0GUA15R,DE0GUA15R,DL0GUA15R,,
AP/IB Course Completion (Annual Graduates),AP/IB Course Completion (Annual Graduates),,,,,,,,,,,,,,,
AP/IB Course Completion (Annual Graduates),2015-16,SA0GB16R,RA0GB16R,DA0GB16R,DB0GB16R,DH0GB16R,DW0GB16R,DI0GB16R,D30GB16R,D40GB16R,D20GB16R,DS0GB16R,DE0GB16R,DL0GB16R,,
AP/IB Course Completion (Annual Graduates),2014-15,SA0GB15R,RA0GB15R,DA0GB15R,DB0GB15R,DH0GB15R,DW0GB15R,DI0GB15R,D30GB15R,D40GB15R,D20GB15R,DS0GB15R,DE0GB15R,DL0GB15R,,
CTE Coherent Sequence (Annual Graduates),CTE Coherent Sequence (Annual Graduates),,,,,,,,,,,,,,,
