DISTRICT,ASVAB_STATUS,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"'091910"," ","GRAYSON","'091","N","N","WHITEWRIGHT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091913"," ","GRAYSON","'091","N","N","POTTSBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091914"," ","GRAYSON","'091","N","N","S AND S CISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091917"," ","GRAYSON","'091","N","N","GUNTER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091918"," ","GRAYSON","'091","N","N","TOM BEAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'092801"," ","GREGG","'092","Y","Y","EAST TEXAS CHARTER SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'092901"," ","GREGG","'092","N","N","GLADEWATER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'092902"," ","GREGG","'092","N","N","KILGORE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'092903"," ","GREGG","'092","N","N","LONGVIEW ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'092904"," ","GREGG","'092","N","N","PINE TREE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'092906"," ","GREGG","'092","N","N","SABINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'092907"," ","GREGG","'092","N","N","SPRING HILL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'092908"," ","GREGG","'092","N","N","WHITE OAK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'093901"," ","GRIMES","'093","N","N","ANDERSON-SHIRO CISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'093903"," ","GRIMES","'093","N","N","IOLA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'093904"," ","GRIMES","'093","N","N","NAVASOTA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'06"
"'093905"," ","GRIMES","'093","N","N","RICHARDS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'094901"," ","GUADALUPE","'094","N","N","SEGUIN ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'094902"," ","GUADALUPE","'094","N","N","SCHERTZ-CIBOLO-U CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'094903"," ","GUADALUPE","'094","N","N","NAVARRO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'094904"," ","GUADALUPE","'094","N","N","MARION ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'095901"," ","HALE","'095","N","N","ABERNATHY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'095902"," ","HALE","'095","N","N","COTTON CENTER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'095903","ASVAB Alternative Test Offered","HALE","'095","N","N","HALE CENTER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'095904"," ","HALE","'095","N","N","PETERSBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'095905"," ","HALE","'095","N","N","PLAINVIEW ISD","Not Rated: Declared State of Disaster","Needs Assistance","'17"
"'096904"," ","HALL","'096","N","N","MEMPHIS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'096905"," ","HALL","'096","N","N","TURKEY-QUITAQUE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'097902"," ","HAMILTON","'097","N","N","HAMILTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'097903"," ","HAMILTON","'097","N","N","HICO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'098901"," ","HANSFORD","'098","N","N","GRUVER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'098903"," ","HANSFORD","'098","N","N","PRINGLE-MORSE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'098904"," ","HANSFORD","'098","N","N","SPEARMAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'099902"," ","HARDEMAN","'099","N","N","CHILLICOTHE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'099903"," ","HARDEMAN","'099","N","N","QUANAH ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'100903"," ","HARDIN","'100","N","N","KOUNTZE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'100904"," ","HARDIN","'100","N","N","SILSBEE ISD","Not Rated: Declared State of Disaster","Needs Intervention","'05"
"'100905"," ","HARDIN","'100","N","N","HARDIN-JEFFERSON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'100907"," ","HARDIN","'100","N","N","LUMBERTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'100908"," ","HARDIN","'100","N","N","WEST HARDIN COUNTY CISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'101802"," ","HARRIS","'101","N","Y","SER-NINOS CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101803"," ","HARRIS","'101","N","Y","ARISTOI CLASSICAL ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101804"," ","HARRIS","'101","Y","Y","GEORGE I SANCHEZ CHARTER","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101806"," ","HARRIS","'101","N","Y","RAUL YZAGUIRRE SCHOOLS FOR SUCCESS","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101807"," ","HARRIS","'101","N","Y","UNIVERSITY OF HOUSTON CHARTER SCHO","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101810"," ","HARRIS","'101","N","Y","ACADEMY OF ACCELERATED LEARNING IN","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101811"," ","HARRIS","'101","Y","Y","EXCEL ACADEMY","Not Rated","Meets Requirements","'04"
"'101814"," ","HARRIS","'101","N","Y","THE VARNETT PUBLIC SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101815"," ","HARRIS","'101","N","Y","ALIEF MONTESSORI COMMUNITY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101819"," ","HARRIS","'101","N","Y","AMIGOS POR VIDA-FRIENDS FOR LIFE P","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101821"," ","HARRIS","'101","Y","Y","HOUSTON HEIGHTS HIGH SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101828"," ","HARRIS","'101","N","Y","HOUSTON GATEWAY ACADEMY INC","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101837"," ","HARRIS","'101","N","Y","CALVIN NELMS CHARTER SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101838"," ","HARRIS","'101","N","Y","SOUTHWEST SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101840"," ","HARRIS","'101","N","Y","TWO DIMENSIONS PREPARATORY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101842"," ","HARRIS","'101","N","Y","COMQUEST ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101845"," ","HARRIS","'101","N","Y","YES PREP PUBLIC SCHOOLS INC","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101846"," ","HARRIS","'101","N","Y","HARMONY SCIENCE ACADEMY","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101847"," ","HARRIS","'101","N","Y","BEATRICE MAYES INSTITUTE CHARTER S","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101849"," ","HARRIS","'101","N","Y","ACCELERATED INTERMEDIATE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101853"," ","HARRIS","'101","N","Y","PROMISE COMMUNITY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101855"," ","HARRIS","'101","N","Y","MEYERPARK ELEMENTARY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101856"," ","HARRIS","'101","N","Y","DRAW ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101858"," ","HARRIS","'101","N","Y","HARMONY SCHOOL OF EXCELLENCE","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101859"," ","HARRIS","'101","N","Y","STEP CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101861"," ","HARRIS","'101","N","Y","THE RHODES SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101862"," ","HARRIS","'101","N","Y","HARMONY SCHOOL OF SCIENCE - HOUSTO","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101864"," ","HARRIS","'101","Y","Y","THE LAWSON ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101868"," ","HARRIS","'101","N","Y","THE PRO-VISION ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101870"," ","HARRIS","'101","N","Y","BETA ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101871"," ","HARRIS","'101","N","Y","A+ UNLIMITED POTENTIAL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101872"," ","HARRIS","'101","N","Y","ETOILE ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101873"," ","HARRIS","'101","N","Y","YELLOWSTONE COLLEGE PREPARATORY","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101874","ASVAB Test not Offered","HARRIS","'101","N","Y","LEGACY SCHOOL OF SPORT SCIENCES","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101875"," ","HARRIS","'101","N","Y","BLOOM ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101876"," ","HARRIS","'101","N","Y","REVE PREPARATORY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101878"," ","HARRIS","'101","N","Y","HOUSTON CLASSICAL CHARTER SCHOOL","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101902"," ","HARRIS","'101","N","N","ALDINE ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'04"
"'101903"," ","HARRIS","'101","N","N","ALIEF ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'04"
"'101905"," ","HARRIS","'101","N","N","CHANNELVIEW ISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101906"," ","HARRIS","'101","N","N","CROSBY ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101907"," ","HARRIS","'101","N","N","CYPRESS-FAIRBANKS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101908"," ","HARRIS","'101","N","N","DEER PARK ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101910"," ","HARRIS","'101","N","N","GALENA PARK ISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101911"," ","HARRIS","'101","N","N","GOOSE CREEK CISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101912"," ","HARRIS","'101","N","N","HOUSTON ISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101913"," ","HARRIS","'101","N","N","HUMBLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101914"," ","HARRIS","'101","N","N","KATY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101915"," ","HARRIS","'101","N","N","KLEIN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101916"," ","HARRIS","'101","N","N","LA PORTE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101917"," ","HARRIS","'101","N","N","PASADENA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101919"," ","HARRIS","'101","N","N","SPRING ISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'101920"," ","HARRIS","'101","N","N","SPRING BRANCH ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'101921"," ","HARRIS","'101","N","N","TOMBALL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'101924"," ","HARRIS","'101","N","N","SHELDON ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'04"
"'101925"," ","HARRIS","'101","N","N","HUFFMAN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'102901"," ","HARRISON","'102","N","N","KARNACK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'102902"," ","HARRISON","'102","N","N","MARSHALL ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'102903"," ","HARRISON","'102","N","N","WASKOM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'102904"," ","HARRISON","'102","N","N","HALLSVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'102905"," ","HARRISON","'102","N","N","HARLETON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'102906"," ","HARRISON","'102","N","N","ELYSIAN FIELDS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'103901"," ","HARTLEY","'103","N","N","CHANNING ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'103902","ASVAB Alternative Test Offered","HARTLEY","'103","N","N","HARTLEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'104901"," ","HASKELL","'104","N","N","HASKELL CISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'104903"," ","HASKELL","'104","N","N","RULE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'104907","ASVAB Alternative Test Offered","HASKELL","'104","N","N","PAINT CREEK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'105801","ASVAB Test not Offered","HAYS","'105","N","Y","KATHERINE ANNE PORTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'105802"," ","HAYS","'105","N","Y","TEXAS PREPARATORY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'105803"," ","HAYS","'105","N","Y","KI CHARTER ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'105902"," ","HAYS","'105","N","N","SAN MARCOS CISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'105904"," ","HAYS","'105","N","N","DRIPPING SPRINGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'105905","ASVAB Alternative Test Offered","HAYS","'105","N","N","WIMBERLEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'105906"," ","HAYS","'105","N","N","HAYS CISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'106901"," ","HEMPHILL","'106","N","N","CANADIAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'107901"," ","HENDERSON","'107","N","N","ATHENS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'107902"," ","HENDERSON","'107","N","N","BROWNSBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107904"," ","HENDERSON","'107","N","N","CROSS ROADS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107905"," ","HENDERSON","'107","N","N","EUSTACE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107906"," ","HENDERSON","'107","N","N","MALAKOFF ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107907"," ","HENDERSON","'107","N","N","TRINIDAD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107908"," ","HENDERSON","'107","N","N","MURCHISON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'107910"," ","HENDERSON","'107","N","N","LAPOYNOR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'108802"," ","HIDALGO","'108","N","Y","HORIZON MONTESSORI PUBLIC SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108804"," ","HIDALGO","'108","Y","Y","TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108807","ASVAB Test not Offered","HIDALGO","'108","N","Y","IDEA PUBLIC SCHOOLS","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108808"," ","HIDALGO","'108","N","Y","VANGUARD ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108809"," ","HIDALGO","'108","N","Y","EXCELLENCE IN LEADERSHIP ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108902"," ","HIDALGO","'108","N","N","DONNA ISD","Not Rated: Declared State of Disaster","Needs Intervention","'01"
"'108903"," ","HIDALGO","'108","N","N","EDCOUCH-ELSA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108904"," ","HIDALGO","'108","N","N","EDINBURG CISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108905"," ","HIDALGO","'108","N","N","HIDALGO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108906"," ","HIDALGO","'108","N","N","MCALLEN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108907"," ","HIDALGO","'108","N","N","MERCEDES ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108908"," ","HIDALGO","'108","N","N","MISSION CISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108909"," ","HIDALGO","'108","N","N","PHARR-SAN JUAN-ALAMO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'01"
"'108910"," ","HIDALGO","'108","N","N","PROGRESO ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108911"," ","HIDALGO","'108","N","N","SHARYLAND ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'108912"," ","HIDALGO","'108","N","N","LA JOYA ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'01"
"'108913"," ","HIDALGO","'108","N","N","WESLACO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'01"
"'108914"," ","HIDALGO","'108","N","N","LA VILLA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108915"," ","HIDALGO","'108","N","N","MONTE ALTO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'108916"," ","HIDALGO","'108","N","N","VALLEY VIEW ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'109901"," ","HILL","'109","N","N","ABBOTT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109902"," ","HILL","'109","N","N","BYNUM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109903"," ","HILL","'109","N","N","COVINGTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109904"," ","HILL","'109","N","N","HILLSBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109905"," ","HILL","'109","N","N","HUBBARD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109907"," ","HILL","'109","N","N","ITASCA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'109908"," ","HILL","'109","N","N","MALONE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109910"," ","HILL","'109","N","N","MOUNT CALM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109911"," ","HILL","'109","N","N","WHITNEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109912"," ","HILL","'109","N","N","AQUILLA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109913"," ","HILL","'109","N","N","BLUM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'109914"," ","HILL","'109","N","N","PENELOPE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'110901"," ","HOCKLEY","'110","N","N","ANTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'110902"," ","HOCKLEY","'110","N","N","LEVELLAND ISD","Not Rated: Declared State of Disaster","Needs Assistance","'17"
"'110905"," ","HOCKLEY","'110","N","N","ROPES ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'110906"," ","HOCKLEY","'110","N","N","SMYER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'110907","ASVAB Alternative Test Offered","HOCKLEY","'110","N","N","SUNDOWN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'110908"," ","HOCKLEY","'110","N","N","WHITHARRAL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'111801","ASVAB Test not Offered","HOOD","'111","Y","Y","LAKE GRANBURY ACADEMY CHARTER SCHO","Not Rated","Meets Requirements","'11"
"'111901"," ","HOOD","'111","N","N","GRANBURY ISD","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'111902"," ","HOOD","'111","N","N","LIPAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'111903"," ","HOOD","'111","N","N","TOLAR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'112901"," ","HOPKINS","'112","N","N","SULPHUR SPRINGS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'08"
"'112905"," ","HOPKINS","'112","N","N","CUMBY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'112906"," ","HOPKINS","'112","N","N","NORTH HOPKINS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'112907"," ","HOPKINS","'112","N","N","MILLER GROVE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'112908"," ","HOPKINS","'112","N","N","COMO-PICKTON CISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'112909"," ","HOPKINS","'112","N","N","SALTILLO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'112910"," ","HOPKINS","'112","N","N","SULPHUR BLUFF ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'113901"," ","HOUSTON","'113","N","N","CROCKETT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'113902"," ","HOUSTON","'113","N","N","GRAPELAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'113903"," ","HOUSTON","'113","N","N","LOVELADY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'113905"," ","HOUSTON","'113","N","N","LATEXO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'113906"," ","HOUSTON","'113","N","N","KENNARD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'114901"," ","HOWARD","'114","N","N","BIG SPRING ISD","Not Rated: Declared State of Disaster","Needs Assistance","'18"
"'114902"," ","HOWARD","'114","N","N","COAHOMA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'114904"," ","HOWARD","'114","N","N","FORSAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'115901"," ","HUDSPETH","'115","N","N","FT HANCOCK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'115902"," ","HUDSPETH","'115","N","N","SIERRA BLANCA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'115903"," ","HUDSPETH","'115","N","N","DELL CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'116901"," ","HUNT","'116","N","N","CADDO MILLS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116902"," ","HUNT","'116","N","N","CELESTE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116903"," ","HUNT","'116","N","N","COMMERCE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'116905"," ","HUNT","'116","N","N","GREENVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'116906"," ","HUNT","'116","N","N","LONE OAK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116908"," ","HUNT","'116","N","N","QUINLAN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'116909"," ","HUNT","'116","N","N","WOLFE CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116910"," ","HUNT","'116","N","N","CAMPBELL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116915"," ","HUNT","'116","N","N","BLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'116916"," ","HUNT","'116","N","N","BOLES ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'117901"," ","HUTCHINSON","'117","N","N","BORGER ISD","Not Rated: Declared State of Disaster","Needs Assistance","'16"
"'117903"," ","HUTCHINSON","'117","N","N","SANFORD-FRITCH ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'117904"," ","HUTCHINSON","'117","N","N","PLEMONS-STINNETT-PHILLIPS CISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'117907"," ","HUTCHINSON","'117","N","N","SPRING CREEK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'118902"," ","IRION","'118","N","N","IRION COUNTY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'119901"," ","JACK","'119","N","N","BRYSON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'119902"," ","JACK","'119","N","N","JACKSBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'119903"," ","JACK","'119","N","N","PERRIN-WHITT CISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'120901"," ","JACKSON","'120","N","N","EDNA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'120902"," ","JACKSON","'120","N","N","GANADO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'120905"," ","JACKSON","'120","N","N","INDUSTRIAL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'121902"," ","JASPER","'121","N","N","BROOKELAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'121903"," ","JASPER","'121","N","N","BUNA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'121904"," ","JASPER","'121","N","N","JASPER ISD","Not Rated: Declared State of Disaster","Needs Assistance","'05"
"'121905"," ","JASPER","'121","N","N","KIRBYVILLE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'121906"," ","JASPER","'121","N","N","EVADALE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'122901"," ","JEFF DAVIS","'122","N","N","FT DAVIS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'122902"," ","JEFF DAVIS","'122","N","N","VALENTINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'123803"," ","JEFFERSON","'123","N","Y","TEKOA ACADEMY OF ACCELERATED STUDI","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'123805"," ","JEFFERSON","'123","N","Y","EHRHART SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'123807"," ","JEFFERSON","'123","N","Y","BOB HOPE SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'123905"," ","JEFFERSON","'123","N","N","NEDERLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'123907"," ","JEFFERSON","'123","N","N","PORT ARTHUR ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'05"
"'123908"," ","JEFFERSON","'123","N","N","PORT NECHES-GROVES ISD","Not Rated: Declared State of Disaster","Needs Assistance","'05"
"'123910"," ","JEFFERSON","'123","N","N","BEAUMONT ISD","Not Rated: Declared State of Disaster","Needs Intervention","'05"
"'123913"," ","JEFFERSON","'123","N","N","SABINE PASS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'123914"," ","JEFFERSON","'123","N","N","HAMSHIRE-FANNETT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'124901"," ","JIM HOGG","'124","N","N","JIM HOGG COUNTY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
