DISTRICT,D2HEE20R,D2HEE21R,D3HEE20R,D3HEE21R,D4HEE20R,D4HEE21R,DAHEE20R,DAHEE21R,DBHEE20R,DBHEE21R,DEHEE20R,DEHEE21R,DHHEE20R,DHHEE21R,DIHEE20R,DIHEE21R,DISTNAME,DLHEE20R,DLHEE21R,DSHEE20R,DSHEE21R,DWHEE20R,DWHEE21R
"'067903",.,.,-1,-1,.,.,56.6,58.8,-1,-1,36.4,50,57.9,67.9,.,.,"EASTLAND ISD",-1,-1,22.2,-1,55.6,54
"'067904",.,.,.,.,.,.,63.2,61.9,-1,.,56.3,44.4,55.6,55.6,.,.,"GORMAN ISD",-1,.,-1,-1,77.8,66.7
"'067907",.,-1,.,.,.,.,70.6,41.4,-1,-1,60,47.6,-1,50,.,.,"RANGER ISD",.,.,-1,-1,66.7,29.4
"'067908",.,.,.,.,.,.,81.8,50,.,.,85.7,37.5,.,-1,.,.,"RISING STAR ISD",.,.,.,.,81.8,60
"'068802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ACADEMY CHARTER SCHOOL",.,.,.,.,.,.
"'068803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"UTPB STEM ACADEMY",.,.,.,.,.,.
"'068901",53.3,52.9,76.9,77.3,14.3,-1,49.7,47.3,58.5,50,40.2,38.4,46.2,44.8,62.5,40,"ECTOR COUNTY ISD",26.5,22.5,23.5,28.3,58.7,55.3
"'069901",.,.,.,.,.,.,33.3,57.1,.,.,21.4,33.3,33.3,46.7,.,.,"ROCKSPRINGS ISD",.,.,-1,-1,.,83.3
"'069902",-1,.,.,.,.,.,45,47.4,.,-1,36.4,53.8,66.7,50,.,.,"NUECES CANYON CISD",.,.,-1,-1,20,50
"'070801",-1,.,.,.,.,.,33.3,16.5,40,33.3,33.7,16.2,31.4,10.4,.,.,"WAXAHACHIE FAITH FAMILY ACADEMY",30.8,7.5,20,11.1,-1,-1
"'070901",-1,-1,.,.,-1,.,68.8,52.2,.,.,71.4,44.4,-1,54.5,.,.,"AVALON ISD",.,-1,-1,22.2,60,54.5
"'070903",-1,60,-1,-1,-1,-1,49.1,41.2,61,54.3,44.1,32.6,42.7,31.5,-1,-1,"ENNIS ISD",36.4,20,13.9,9.7,58.9,52.2
"'070905",-1,20,-1,-1,.,.,47.3,31.7,52.9,22.2,45,23.4,46.8,28.5,.,-1,"FERRIS ISD",9.1,16.7,23.5,5.6,39.1,42.1
"'070907",-1,.,.,.,.,.,51.2,46.2,55.6,-1,46.4,36.8,45.5,23.1,.,.,"ITALY ISD",-1,-1,33.3,-1,50,58.3
"'070908",33.3,45.8,33.3,40,.,.,59.3,55.5,50.9,62.7,45.7,36.1,53.4,49.7,.,-1,"MIDLOTHIAN ISD",-1,33.3,48.8,30.4,63.6,57.6
"'070909",-1,-1,.,.,.,.,35.7,30.4,40,33.3,27.3,37.5,33.3,28.6,.,.,"MILFORD ISD",-1,-1,-1,-1,-1,22.2
"'070910",-1,-1,.,-1,.,-1,50.7,45.6,-1,.,45,36,46.4,45.8,-1,.,"PALMER ISD",-1,-1,30,10,52.5,50
"'070911",66.7,33.3,-1,-1,.,.,58.6,51,58.5,54.3,50.9,41.5,52,41.9,-1,-1,"RED OAK ISD",62.5,8.3,27,27.3,62.9,55.2
"'070912",53.8,57.1,50,-1,-1,-1,56.6,48.2,59.1,49.5,47.8,36.8,50.2,35.6,-1,42.9,"WAXAHACHIE ISD",31.3,14.3,20.4,16.7,60.5,56.4
"'070915",-1,.,-1,.,.,.,69.4,56.5,.,-1,48,41.4,54.5,40.9,.,.,"MAYPEARL ISD",-1,-1,40,-1,72.7,60.7
"'071801",-1,-1,.,.,.,.,56.5,51.7,-1,.,58.3,46.7,52.6,56,.,.,"BURNHAM WOOD CHARTER SCHOOL DISTRICT",-1,71.4,-1,-1,-1,-1
"'071803",.,.,.,.,.,.,17.1,8.6,.,.,18.3,8.3,17.7,8.6,.,.,"TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO",18.8,8.3,0,-1,-1,.
"'071804",-1,.,-1,.,.,.,16.4,14.4,-1,.,13.3,14.4,15.7,14.2,.,.,"EL PASO ACADEMY",21.1,0,0,30,27.3,20
"'071806",.,-1,.,-1,.,-1,62.8,63.9,-1,-1,65.3,64.8,65.5,66.4,-1,-1,"HARMONY PUBLIC SCHOOLS - WEST TEXAS",62.5,33.3,16.7,50,-1,50
"'071807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LA FE PREPARATORY SCHOOL",.,.,.,.,.,.
"'071809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VISTA DEL FUTURO CHARTER SCHOOL",.,.,.,.,.,.
"'071810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EL PASO LEADERSHIP ACADEMY",.,.,.,.,.,.
"'071901",14.3,-1,.,.,.,.,55.3,44.4,83.3,-1,55.4,42.8,55.7,44.8,.,-1,"CLINT ISD",31.6,27.3,20,18.8,47.8,37
"'071902",48.6,42.6,55.3,55.4,13.3,36.4,59.9,50.5,46.2,40.2,58.5,48,61.6,51.6,62.5,60,"EL PASO ISD",59.3,41.5,33.7,31.2,51.4,43.4
"'071903",.,.,.,.,.,.,50,39.9,.,.,49.3,34.8,50.6,39.5,.,.,"FABENS ISD",22.7,11.1,28.6,23.1,-1,-1
"'071904",.,.,.,.,.,.,55.6,40.1,.,.,56.7,39.9,55.9,40.4,.,-1,"SAN ELIZARIO ISD",30,31.4,23.5,16.7,-1,-1
"'071905",-1,-1,71.4,71.4,-1,-1,60.6,49.9,57.5,45.2,58.4,48.2,61,50,-1,.,"YSLETA ISD",56.1,42.7,38.1,24,48.9,48.8
"'071906",.,.,.,.,.,.,40,38.9,.,-1,40,31.7,40,37.3,.,.,"ANTHONY ISD",-1,30,-1,-1,.,-1
"'071907",-1,-1,-1,-1,.,.,50.9,38.7,-1,50,51.6,35.1,49.3,38.5,-1,.,"CANUTILLO ISD",35.7,13.9,32,13.9,83.3,37.5
"'071908",.,.,.,.,.,.,36,25.9,.,.,34.7,24.7,35.1,25.9,-1,.,"TORNILLO ISD",0,15.4,-1,11.1,.,.
"'071909",56.3,46.7,42.9,62.5,20,40,59.7,50.9,42.4,35,59.8,49.1,61.3,51.5,33.3,60,"SOCORRO ISD",56.8,44.2,39.9,22.4,27.2,45.1
"'072801",31,20,66.7,50,-1,-1,24.5,20.3,29.8,21.5,22.2,17.9,23.5,18.7,0,30,"PREMIER HIGH SCHOOLS",20.3,14.7,12.4,15.8,23.9,21.5
"'072802",.,.,-1,.,.,.,7.3,19.4,-1,.,7.3,19.4,11.1,5.9,-1,.,"ERATH EXCELS ACADEMY INC",.,.,-1,-1,0,31.6
"'072901",.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,"THREE WAY ISD",.,.,.,.,.,-1
"'072902",-1,.,.,.,.,.,48.6,41,-1,.,45.2,47.2,42.6,42.2,-1,.,"DUBLIN ISD",-1,50,-1,-1,57.1,39.4
"'072903",-1,-1,-1,-1,.,.,59.1,56.1,-1,-1,43.8,45.8,42.7,51.6,-1,-1,"STEPHENVILLE ISD",-1,-1,23.1,14.3,66.2,57.6
"'072904",.,.,.,.,.,.,33.3,60,.,.,-1,-1,.,-1,.,.,"BLUFF DALE ISD",.,.,-1,-1,33.3,66.7
"'072908",-1,.,.,.,.,.,64.3,83.3,.,.,40,-1,-1,-1,.,.,"HUCKABAY ISD",.,.,-1,.,63.6,75
"'072909",.,.,.,.,.,.,84.6,43.8,.,.,-1,30.8,100,30.8,.,.,"LINGLEVILLE ISD",.,-1,.,-1,71.4,-1
"'072910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MORGAN MILL ISD",.,.,.,.,.,.
"'073901",.,.,.,.,.,.,43.6,27.3,85.7,50,41.7,27.6,37,20,.,.,"CHILTON ISD",-1,.,22.2,14.3,20,28.6
"'073903",.,.,.,.,.,.,40,34.9,56,40,40,35.5,18.8,33.3,.,-1,"MARLIN ISD",-1,-1,16.7,12.5,-1,-1
"'073904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WESTPHALIA ISD",.,.,.,.,.,.
"'073905",.,-1,.,.,.,.,61.1,44.2,33.3,50,47.4,44.4,58.3,46.2,.,.,"ROSEBUD-LOTT ISD",.,.,-1,16.7,66.7,43.3
"'074903",-1,.,-1,.,.,-1,39.7,31.3,28.6,14.3,28.6,14.8,44,21.1,-1,-1,"BONHAM ISD",-1,-1,5.6,5.6,38.6,35.7
"'074904",.,-1,.,.,.,.,50,37.5,.,.,40,14.3,.,-1,.,.,"DODD CITY ISD",.,.,-1,-1,50,35
"'074905",-1,-1,.,-1,.,.,36.8,41.7,.,.,33.3,28.6,-1,-1,.,.,"ECTOR ISD",.,.,-1,-1,43.8,44.4
"'074907",-1,-1,.,.,.,.,33.3,39,-1,55.6,7.7,25,0,36.4,-1,-1,"HONEY GROVE ISD",.,-1,12.5,10,39.4,36.1
"'074909",-1,-1,.,.,-1,.,53.9,50,-1,-1,48.6,42.3,46.2,57.1,.,-1,"LEONARD ISD",.,-1,22.2,22.2,58.6,45.7
"'074911",-1,-1,.,.,.,.,50,28.6,.,.,36.4,12.5,-1,-1,.,-1,"SAVOY ISD",.,.,-1,-1,50,33.3
"'074912",-1,-1,-1,.,.,.,47.1,31.6,.,-1,35.7,28.6,50,30,-1,.,"TRENTON ISD",.,.,16.7,0,52,29.2
"'074917",-1,.,.,.,.,.,44,43.3,-1,.,11.1,36.4,-1,-1,.,.,"SAM RAYBURN ISD",.,-1,40,-1,42.9,46.2
"'075901",-1,.,.,.,.,.,42.6,47.4,-1,-1,32.3,33.3,41.9,36.4,.,.,"FLATONIA ISD",-1,-1,-1,20,42.9,64.3
"'075902",-1,.,.,.,.,.,55,52.1,50,45.5,38,39.1,42.9,43.5,.,.,"LA GRANGE ISD",-1,16.7,16.7,9.1,63.6,57.5
"'075903",.,-1,-1,.,.,.,49.1,60.7,-1,37.5,42.1,47.4,25,57.1,-1,.,"SCHULENBURG ISD",.,.,-1,14.3,68,69.7
"'075906",.,.,.,.,.,.,68.2,45.5,-1,.,60,-1,-1,-1,.,.,"FAYETTEVILLE ISD",.,.,-1,-1,70.6,52.6
"'075908",-1,.,.,.,.,.,45,63.6,.,.,42.9,33.3,40,-1,.,-1,"ROUND TOP-CARMINE ISD",-1,-1,-1,-1,42.9,68.4
"'076903",.,.,.,.,.,.,58.8,61.1,.,.,50,50,40,-1,.,.,"ROBY CISD",-1,-1,-1,-1,66.7,71.4
"'076904",.,.,.,.,.,.,58.8,60,.,-1,57.1,58.3,71.4,45.5,.,.,"ROTAN ISD",-1,.,.,-1,50,71.4
"'077901",-1,.,.,.,.,.,80.5,65.6,-1,-1,85.2,58.3,76.9,64.3,.,.,"FLOYDADA COLLEGIATE ISD",-1,-1,80,-1,90.9,-1
"'077902",-1,-1,.,.,.,.,57.7,41.7,.,.,57.9,36.8,57.9,42.1,.,.,"LOCKNEY ISD",.,-1,-1,-1,50,-1
"'078901",.,.,.,.,.,.,54.5,69.6,.,-1,33.3,58.8,-1,55.6,.,.,"CROWELL ISD",.,.,.,40,50,76.9
"'079901",64.4,52.8,83.8,78,-1,-1,59.4,53.9,59.4,58.1,48,41.9,50.5,40.1,-1,80,"LAMAR CISD",25.4,11.3,35.8,24.5,64.2,65.9
"'079906",-1,-1,-1,.,.,.,65.8,56.6,36.4,20,54.2,34.1,61.2,47.9,-1,.,"NEEDVILLE ISD",-1,28.6,38.9,47.4,72.2,68.9
"'079907",53.6,60.1,82.8,77.9,-1,42.9,64.8,59.9,58.2,51.3,56.5,51.4,52.1,45.9,56.3,55.6,"FORT BEND ISD",39.8,30.9,33.8,23.4,70.5,65.6
"'079910",-1,-1,84.2,72.2,-1,.,52.6,46.2,63.9,55.6,50,45.5,38.3,29.9,.,-1,"STAFFORD MSD",15.4,7.1,23.8,4.8,50,46.7
"'080901",-1,-1,-1,-1,.,.,52.8,42.4,50,36.4,39.6,31.7,50,33.3,-1,.,"MOUNT VERNON ISD",-1,-1,30.8,0,52.5,44.2
"'081902",-1,50,-1,.,.,.,50.8,48.4,57.1,55.6,49.1,38.7,45.8,47.6,.,-1,"FAIRFIELD ISD",-1,-1,16.7,16.7,49.1,47.6
"'081904",-1,-1,.,.,.,.,53.9,54.5,63.2,57.1,47.5,42.9,43.8,62.5,.,.,"TEAGUE ISD",-1,.,12.5,18.8,54.8,50.8
"'081905",.,.,-1,.,.,.,52.9,54.8,60,-1,50,40,42.9,-1,-1,.,"WORTHAM ISD",.,.,-1,-1,50,59.3
"'081906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DEW ISD",.,.,.,.,.,.
"'082902",-1,.,-1,.,.,.,43.4,25,.,.,33.9,24.5,41.2,24.2,.,.,"DILLEY ISD",-1,-1,20,7.7,40,33.3
"'082903",-1,.,.,.,.,.,23.6,22.4,.,.,18.2,17.8,23.2,21.4,.,.,"PEARSALL ISD",0,12.5,8,0,23.1,50
"'083901",.,.,.,.,.,.,26.8,32.6,-1,-1,25,24.2,27.6,28.1,.,.,"SEAGRAVES ISD",16.7,28.6,10,-1,37.5,57.1
"'083902",.,.,.,.,.,.,33.3,50,.,.,-1,33.3,33.3,40,.,.,"LOOP ISD",.,.,-1,.,.,-1
"'083903",-1,-1,.,-1,.,-1,30,30.7,-1,-1,15.1,15.6,28.7,26.1,.,.,"SEMINOLE ISD",0,16.7,4.3,10,29.8,33.7
"'084802",-1,-1,.,.,.,.,52.2,58.1,-1,.,35.3,42.9,61.9,58.8,-1,.,"ODYSSEY ACADEMY INC",-1,-1,0,-1,38.9,61.5
"'084804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AMBASSADORS PREPARATORY ACADEMY",.,.,.,.,.,.
"'084901",66.7,41.7,76.2,71.4,-1,-1,51.9,46,56.9,53.7,45.3,37.5,47.5,38.6,-1,-1,"DICKINSON ISD",20,14.3,13.7,14.1,53,50.5
"'084902",60,54.5,93.3,62.5,.,.,59.3,45.2,56.4,36.6,55.7,39.1,60,42.8,-1,.,"GALVESTON ISD",33.3,11.6,33.3,9.1,56.8,53.5
"'084903",.,-1,.,-1,.,.,40,47.4,.,.,25,28.6,-1,-1,.,.,"HIGH ISLAND ISD",.,.,.,-1,33.3,46.7
"'084906",45.5,28.6,-1,-1,-1,-1,39.8,38.9,37.2,35.5,35.4,31.3,41.8,33.8,-1,-1,"TEXAS CITY ISD",24,13.3,21.9,14.9,41.7,53.9
"'084908",-1,-1,.,.,.,.,42.2,43.9,54.5,43.3,47.3,35.7,21.4,36.7,.,.,"HITCHCOCK ISD",-1,-1,0,33.3,47.6,52.6
"'084909",28.6,57.1,-1,-1,-1,.,54.5,46.5,.,-1,43.2,25.5,54.4,32.3,-1,-1,"SANTA FE ISD",-1,-1,10.5,7.7,55,50
"'084910",66.4,59.7,81.1,76.6,20,40,64.1,58.1,59.1,51.1,52.8,44.4,56.7,49.8,44.4,55.6,"CLEAR CREEK ISD",43.6,27.5,38.1,28.8,65.2,60.1
"'084911",77.8,61.5,81.3,65.8,-1,-1,70.6,65.1,87.5,40,73.8,50,69.8,64.5,-1,-1,"FRIENDSWOOD ISD",66.7,16.7,43.3,40,69.1,65.9
"'085902",-1,-1,.,-1,.,.,34.7,39.1,0,-1,23.1,34.5,32.1,36,-1,.,"POST ISD",.,.,-1,-1,53.8,50
"'085903",.,.,.,.,.,.,20,66.7,.,.,20,75,-1,71.4,.,.,"SOUTHLAND ISD",.,.,-1,-1,33.3,-1
"'086024",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DOSS CONSOLIDATED CSD",.,.,.,.,.,.
"'086901",.,-1,-1,.,.,.,41.5,42.3,.,.,28,26.4,28.9,27.2,-1,.,"FREDERICKSBURG ISD",25,6.7,0,8.3,47.6,51
"'086902",.,-1,.,.,.,.,55,59.5,.,.,22.2,28.6,40,-1,.,-1,"HARPER ISD",-1,.,20,-1,57.1,60.6
"'087901",.,.,.,.,.,.,81.8,87,.,.,63.6,88.9,66.7,71.4,.,.,"GLASSCOCK COUNTY ISD",-1,-1,-1,-1,100,93.8
"'088902",-1,.,.,.,.,.,65.3,51.9,57.1,-1,55.8,32.5,65.1,45.7,-1,-1,"GOLIAD ISD",.,.,16.7,16.7,67.4,58.9
"'089901",-1,.,-1,.,.,-1,31.9,33.7,15.4,14.3,23.2,21.4,27.4,24.5,.,.,"GONZALES ISD",0,15,0,15,54.5,61.5
"'089903",-1,.,.,.,.,.,22.4,31.9,-1,-1,20.7,28.3,21.2,35.1,.,.,"NIXON-SMILEY CISD",0,0,20,0,36.4,21.4
"'089905",.,-1,.,.,.,.,28,33.3,42.9,20,25,22.2,20,33.3,.,.,"WAELDER ISD",-1,20,-1,-1,-1,.
"'090902",.,-1,.,.,.,.,22.2,54.5,.,.,16.7,57.1,-1,-1,.,.,"LEFORS ISD",.,.,.,-1,25,62.5
"'090903",.,.,.,.,.,.,77.8,52.9,.,.,-1,-1,-1,-1,.,.,"MCLEAN ISD",.,.,.,-1,86.7,46.2
"'090904",37.5,14.3,.,-1,.,.,42.9,41.1,-1,73.3,29.3,36.6,39.8,40.2,-1,-1,"PAMPA ISD",11.8,21.1,19.2,6.1,46.5,38.2
"'090905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GRANDVIEW-HOPKINS ISD",.,.,.,.,.,.
"'091901",-1,40,.,.,.,.,61.8,47,-1,-1,47.8,26.7,80,66.7,-1,-1,"BELLS ISD",-1,.,44.4,33.3,58.2,46.2
"'091902",.,.,.,.,.,.,47.7,50,-1,.,63.2,8.3,60,25,.,-1,"COLLINSVILLE ISD",-1,-1,20,-1,45.5,59.3
"'091903",35,45.8,-1,33.3,.,.,41.1,37.5,44.8,33.3,32.9,34.3,46,37.9,57.1,25,"DENISON ISD",-1,20,14.6,17.6,38.9,37.9
"'091905",-1,-1,.,.,.,.,60.2,50.7,-1,-1,41.4,35,66.7,18.2,-1,-1,"HOWE ISD",-1,-1,33.3,0,58.8,60
"'091906",62.5,30.8,66.7,53.3,.,-1,45,35.1,40,29.7,40.8,28.4,45.5,30.5,-1,40,"SHERMAN ISD",20.8,9.6,26.3,8.2,43.6,41.7
"'091907",-1,.,.,-1,.,.,32.4,40.5,.,.,23.5,17.6,33.3,42.9,.,-1,"TIOGA ISD",.,.,-1,-1,29.2,37.5
"'091908",-1,-1,.,.,.,-1,56.4,55.5,-1,-1,40.5,28.6,37.5,33.3,.,20,"VAN ALSTYNE ISD",.,.,33.3,25,59.6,59.2
"'091909",.,-1,.,.,.,.,43.6,51.6,-1,-1,41.2,38.2,80,33.3,0,-1,"WHITESBORO ISD",-1,-1,22.2,27.3,40,58.7
"'091910",-1,-1,.,-1,.,.,56.1,40.9,80,-1,47.6,23.8,42.9,11.1,.,.,"WHITEWRIGHT ISD",-1,-1,20,-1,54.7,43.1
"'091913",-1,62.5,-1,-1,.,.,46.7,63,.,.,38.7,66.7,-1,80,33.3,-1,"POTTSBORO ISD",.,-1,0,33.3,48.7,62.1
"'091914",-1,40,.,.,.,.,54.7,28.8,.,-1,34.4,26.9,50,40,-1,-1,"S AND S CISD",-1,-1,20,22.2,56.1,25.5
"'091917",-1,-1,.,.,.,.,52.8,62.5,-1,-1,42.1,46.2,50,60,-1,-1,"GUNTER ISD",.,.,40,12.5,56.6,63.2
"'091918",-1,.,.,.,.,.,42.6,42.9,-1,.,40.9,38.5,40,-1,-1,.,"TOM BEAN ISD",-1,.,0,-1,44.2,42.4
"'092801",-1,-1,-1,.,.,.,19.5,29.8,.,-1,27.3,38.5,40,27.3,.,.,"EAST TEXAS CHARTER SCHOOLS",.,.,-1,-1,14.7,28.1
"'092901",16.7,44.4,.,-1,.,.,41.3,34.5,57.7,23.8,32.4,27.6,38.5,33.3,.,.,"GLADEWATER ISD",.,-1,14.3,9.1,37.5,35.6
"'092902",54.5,56.3,.,-1,.,.,54.6,54.1,60,63.4,47.6,46.7,53,43.5,-1,.,"KILGORE ISD",38.9,23.5,18.8,19.2,54.6,56.1
"'092903",57.1,42.1,44.4,90.9,-1,.,42.3,38.1,44.7,39.5,35.5,28.2,33.5,29.6,-1,-1,"LONGVIEW ISD",18.6,13.3,14,16.7,52,44.4
"'092904",45.5,77.8,-1,.,.,.,49.5,46.1,49.2,59.5,45.9,36,52.9,42.4,.,-1,"PINE TREE ISD",16.7,25,13.6,17.4,47,39
"'092906",100,-1,.,-1,.,.,60.7,52.6,57.1,42.9,52.6,40,46.7,42.1,.,.,"SABINE ISD",-1,-1,0,14.3,60.7,54.8
"'092907",-1,-1,-1,-1,.,.,60,65.9,-1,81.8,35.7,57.6,44.4,50,-1,-1,"SPRING HILL ISD",-1,-1,-1,22.2,59.5,66.3
"'092908",-1,-1,.,.,.,.,75,63.6,88.9,-1,50,53.3,60,100,-1,-1,"WHITE OAK ISD",.,.,-1,37.5,74.7,60.3
"'093901",-1,-1,.,.,.,.,57.6,45.5,57.1,25,56,25.9,40,42.9,-1,.,"ANDERSON-SHIRO CISD",.,.,-1,-1,63.4,48.8
"'093903",.,.,.,.,.,.,59.5,66.7,-1,-1,21.4,45.5,83.3,60,.,.,"IOLA ISD",.,.,-1,-1,55.9,66.7
"'093904",-1,-1,.,-1,.,.,46.8,36,58.7,38.5,47.7,33.1,39.8,38.7,-1,.,"NAVASOTA ISD",0,26.1,6.7,0,53.2,27
"'093905",-1,-1,.,.,.,.,41.7,56.3,-1,-1,44.4,50,.,-1,.,.,"RICHARDS ISD",.,.,-1,-1,33.3,50
"'094901",57.1,-1,-1,-1,.,.,34.7,32.6,27.3,45.8,22.3,25.4,28.1,27.3,.,.,"SEGUIN ISD",5.6,4.8,11.5,0,47.5,40.7
"'094902",57.4,44.9,68,45,-1,-1,52.5,48.3,52.9,50.3,33.2,33.4,52.2,46.8,-1,20,"SCHERTZ-CIBOLO-U CITY ISD",25,19.4,27.6,18.4,51.2,50.6
"'094903",-1,-1,-1,-1,.,.,55.5,56.1,.,-1,31.9,42.9,48.5,46,-1,.,"NAVARRO ISD",-1,-1,25,10,60,62.3
"'094904",.,.,.,.,.,.,47,44.5,-1,-1,34.9,39.5,51.3,41.9,.,-1,"MARION ISD",.,-1,40,14.3,45.8,48.4
"'095901",-1,-1,.,.,.,.,62.1,51.4,.,.,45.5,37.9,50,41,.,.,"ABERNATHY ISD",-1,.,-1,-1,72.4,66.7
"'095902",.,-1,.,.,.,.,45.5,60,.,.,20,-1,28.6,-1,.,.,"COTTON CENTER ISD",.,.,.,-1,-1,-1
"'095903",-1,-1,.,.,.,.,50,38.5,.,.,50,13.3,50,21.4,.,.,"HALE CENTER ISD",.,.,-1,-1,40,80
"'095904",.,.,.,.,.,.,84.2,56.3,.,.,85.7,60,87.5,72.7,.,.,"PETERSBURG ISD",-1,.,-1,-1,-1,20
"'095905",20,50,-1,-1,.,.,52.3,39,61.5,70.6,46.6,38,47.8,34.3,-1,-1,"PLAINVIEW ISD",-1,12.5,30.4,21.6,70,47.8
"'096904",.,.,.,.,.,.,41,30.8,-1,14.3,28,27.6,37.5,41.2,.,-1,"MEMPHIS ISD",-1,-1,-1,12.5,53.8,28.6
"'096905",.,.,.,.,.,.,66.7,60,.,.,75,50,71.4,-1,.,.,"TURKEY-QUITAQUE ISD",.,.,.,-1,60,72.7
"'097902",-1,-1,.,.,.,.,60,46.9,-1,.,50,37.5,66.7,42.9,.,-1,"HAMILTON ISD",.,-1,16.7,50,61.4,50
"'097903",.,-1,.,.,.,.,57.1,61.1,.,.,63.6,40,81.8,50,.,.,"HICO ISD",-1,-1,-1,-1,45.8,64
"'098901",.,-1,.,.,.,.,57.1,44.7,.,.,40,25,43.8,21.4,.,.,"GRUVER ISD",-1,-1,-1,-1,75,60.9
"'098903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRINGLE-MORSE CISD",.,.,.,.,.,.
"'098904",.,.,.,.,.,.,62.3,34.4,.,.,65,37.5,62.7,31.7,.,.,"SPEARMAN ISD",-1,-1,20,20,61.1,40
"'099902",-1,.,.,.,.,.,53.3,35.7,.,.,62.5,45.5,-1,16.7,.,.,"CHILLICOTHE ISD",.,20,-1,.,40,50
"'099903",-1,-1,-1,-1,.,.,68.8,48.5,.,.,65.2,50,55.6,50,.,.,"QUANAH ISD",-1,.,-1,0,70,50
"'100903",-1,-1,-1,.,.,.,47.1,45,50,45.5,40,23.1,14.3,-1,.,-1,"KOUNTZE ISD",-1,.,20,-1,50.9,45.5
"'100904",50,66.7,-1,-1,.,.,41.5,42,54.1,41,33,30.2,11.8,29.4,.,-1,"SILSBEE ISD",.,.,0,12,40.9,41.1
"'100905",-1,-1,-1,-1,.,-1,53.9,64.3,62.5,62.5,41.3,54.3,28.6,58.3,.,-1,"HARDIN-JEFFERSON ISD",-1,-1,33.3,22.2,56.3,64.4
"'100907",-1,25,-1,80,.,.,54.8,55,.,-1,38.9,38.2,66.7,53.6,-1,80,"LUMBERTON ISD",-1,-1,21.4,8.3,53.6,55.6
"'100908",-1,-1,.,.,.,.,32.4,23.3,.,.,17.6,14.3,.,-1,.,.,"WEST HARDIN COUNTY CISD",.,-1,0,-1,33.3,22.5
"'101802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SER-NINOS CHARTER SCHOOL",.,.,.,.,.,.
"'101803",-1,-1,.,.,.,.,45,58.8,.,-1,-1,-1,-1,-1,.,.,"ARISTOI CLASSICAL ACADEMY",.,.,-1,-1,35.3,60
"'101804",.,.,.,.,.,.,29.2,16.2,-1,-1,33.9,19.3,27.6,16.7,.,.,"GEORGE I SANCHEZ CHARTER",25,10.7,41.7,0,.,-1
"'101806",.,.,.,.,.,.,57.1,29.8,.,.,59.2,29.9,57.1,29.8,.,.,"RAUL YZAGUIRRE SCHOOLS FOR SUCCESS",25,20,-1,11.1,.,.
"'101810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY OF ACCELERATED LEARNING INC",.,.,.,.,.,.
"'101811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EXCEL ACADEMY",.,.,.,.,.,.
"'101814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE VARNETT PUBLIC SCHOOL",.,.,.,.,.,.
"'101815",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ALIEF MONTESSORI COMMUNITY SCHOOL",.,.,.,.,.,.
"'101819",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH",.,.,.,.,.,.
"'101821",-1,.,.,.,.,.,19.3,10.8,25,33.3,20,8.3,19,5.8,.,.,"HOUSTON HEIGHTS HIGH SCHOOL",.,.,12.5,0,14.3,40
"'101828",.,.,.,-1,.,.,57.7,48.7,.,.,54.5,44.3,60,48.6,.,.,"HOUSTON GATEWAY ACADEMY INC",-1,-1,-1,-1,-1,-1
"'101837",-1,-1,.,-1,.,.,55.3,42.5,40,-1,76.9,42.1,52.9,46.2,.,.,"CALVIN NELMS CHARTER SCHOOLS",.,.,-1,40,60,12.5
"'101838",-1,.,-1,.,.,.,39.2,24.5,-1,42.9,38,17.4,31.9,21,.,.,"SOUTHWEST SCHOOL",15.4,11.1,37.5,28.6,50,33.3
"'101840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TWO DIMENSIONS PREPARATORY ACADEMY",.,.,.,.,.,.
"'101842",-1,.,.,.,.,.,21.4,18.2,-1,.,25,16.7,25,11.1,.,.,"COMQUEST ACADEMY",-1,-1,.,-1,-1,-1
